"","Students.Weeks.4.and.5","Students.Weeks.1.and.2","Adults.Weeks.1.and.2","Type.of.School","BHA.Incidence.Weeks.1.and.2.x1000","CODCENTRE","BHA","SR","Enrolled.Students","Students.Weeks.1.2.and.3","TOTAL.Weeks.1.and.2","Exposed","BHA.Incidence.Weeks.1.and.2","TOTAL.Weeks.4.and.5","Students.Week.4","Students.Week.5","Students.Week.3","Students.Weeks.1.to.4","Confined.Students.Week.2","Confined.Students.Week.3","Confined.Students.Week.5","Educational.Levels","Any.Case.in.Weeks.4.and.5","ABS.Incidence.Weeks.1.and.2.CUT","ABS.harvard","ABS.harvard.ALL","Exposure.to.Any.Weeks.1.and.2","Exposure.to.Students.Weeks.1.and.2","Exposure.to.Adults.Weeks.1.and.2"
"11",0,0,0,"Public Primary 3-12",1.06164383561644,"08000359","121","78",230,0,0,FALSE,106.164383561644,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"12",0,2,0,"Public Primary 3-12",1.40102192187242,"08000384","272","78",471,2,2,TRUE,140.102192187242,0,0,0,0,2,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"13",0,1,0,"Public Primary 3-12",1.81961545460059,"08000396","273","78",325,1,1,TRUE,181.961545460059,0,0,0,0,1,0,0,4,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"14",0,0,0,"Public Primary 3-12",2.29381180548476,"08000402","341","78",372,0,0,FALSE,229.381180548476,0,0,0,0,0,0,0,7,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"15",3,0,0,"Public Primary 3-12",1.80901925313348,"08001391","282","78",434,0,0,FALSE,180.901925313348,3,1,2,0,1,0,0,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"16",4,2,0,"Public Secondary 12-16+",0.902165196471532,"08001421","281","78",952,2,2,TRUE,90.2165196471532,4,1,3,0,3,16,16,64,"ESO BATX CFPM AA03 CFPS PFI",TRUE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"17",0,0,0,"Public Secondary 12-16+",1.80901925313348,"08001431","282","78",627,0,0,FALSE,180.901925313348,0,0,0,0,0,0,0,0,"ESO BATX PFI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"18",2,1,0,"Public Secondary 12-16+",5.75855931316093,"08001443","276","78",872,3,1,TRUE,575.855931316093,2,0,2,2,3,29,54,66,"ESO BATX CFPM CFPS",TRUE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",TRUE,TRUE,FALSE
"19",0,0,0,"Public Primary 3-12",2.22222222222222,"08001509","277","78",451,0,0,FALSE,222.222222222222,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"20",0,0,0,"Public Primary 3-12",0.424448217317487,"08001522","130","67",105,0,0,FALSE,42.4448217317487,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"21",0,0,0,"Public Primary 3-12",2.08724692131079,"08001583","167","67",167,0,0,FALSE,208.724692131079,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"22",0,0,0,"Public Primary 3-12",1.94539478097538,"08001595","018","78",206,0,0,FALSE,194.539478097538,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"23",1,0,0,"Public Primary 3-12",1.44085731009951,"08001601","017","78",209,0,0,FALSE,144.085731009951,1,0,1,0,0,0,0,19,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"24",0,2,0,"Public Primary 3-12",2.69087111932206,"08001649","033","78",415,3,2,TRUE,269.087111932206,0,0,0,1,3,15,20,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"25",0,0,0,"Public Primary 3-12",2.27080692860161,"08001650","383","78",131,0,0,FALSE,227.080692860161,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"26",0,0,0,"Public Primary 3-12",1.96219504218719,"08001674","034","78",116,0,0,FALSE,196.219504218719,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"27",2,0,0,"Public Primary 3-12",1.34742951907131,"08001716","045","78",453,0,0,FALSE,134.742951907131,2,1,1,0,1,0,0,0,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"28",1,1,0,"Public Primary 3-12",1.50705186533212,"08001731","043","78",246,1,1,TRUE,150.705186533212,1,2,0,0,3,24,24,25,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"29",4,3,0,"Public Primary 3-12",2.15603873561118,"08001777","030","78",489,3,3,TRUE,215.603873561118,4,0,4,0,3,47,31,20,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"30",1,1,0,"Public Primary 3-12",1.44085731009951,"08001789","017","78",217,1,1,TRUE,144.085731009951,1,0,1,0,1,0,0,24,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"31",0,0,0,"Public Primary 3-12",1.44085731009951,"08001790","017","78",427,0,0,FALSE,144.085731009951,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"32",0,1,0,"Public Primary 3-12",1.43618253416725,"08001807","027","78",229,1,1,TRUE,143.618253416725,0,0,0,0,1,17,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"33",2,1,0,"Public Primary 3-12",6.19486903238839,"08001819","019","78",423,4,1,TRUE,619.486903238839,2,1,1,3,5,22,22,20,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",TRUE,TRUE,FALSE
"34",6,3,0,"Public Primary 3-12",7.46096808363653,"08001820","020","78",423,4,3,TRUE,746.096808363653,7,5,1,1,9,0,23,72,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",TRUE,TRUE,FALSE
"35",0,0,0,"Public Primary 3-12",7.46096808363653,"08001832","020","78",218,0,0,FALSE,746.096808363653,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",FALSE,FALSE,FALSE
"36",2,0,0,"Public Primary 3-12",1.94539478097538,"08001856","018","78",402,0,0,FALSE,194.539478097538,2,1,1,0,1,0,0,44,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"37",2,0,0,"Public Primary 3-12",6.19486903238839,"08001868","019","78",212,1,0,FALSE,619.486903238839,2,0,2,1,1,0,0,50,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",FALSE,FALSE,FALSE
"38",2,1,0,"Public Primary 3-12",1.66090884932235,"08001911","022","78",515,2,1,TRUE,166.090884932235,2,0,2,1,2,1,1,33,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"39",1,1,0,"Public Primary 3-12",1.66090884932235,"08001923","022","78",471,1,1,TRUE,166.090884932235,1,0,1,0,1,20,20,1,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"40",1,1,0,"Public Primary 3-12",1.08685807444978,"08001947","025","78",450,1,1,TRUE,108.685807444978,1,0,1,0,1,0,0,0,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"41",1,0,0,"Public Primary 3-12",2.69087111932206,"08002009","033","78",208,0,0,FALSE,269.087111932206,1,0,1,0,0,0,0,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"42",0,0,0,"Public Primary 3-12",1.69687620516776,"08002010","400","78",231,1,0,FALSE,169.687620516776,0,0,0,1,1,0,0,17,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"43",1,0,0,"Public Primary 3-12",2.28502145122179,"08002022","036","78",220,1,0,FALSE,228.502145122179,2,1,0,1,2,0,25,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"44",0,4,0,"Public Primary 3-12",1.22238714747228,"08002058","038","78",499,4,4,TRUE,122.238714747228,0,0,0,0,4,51,51,2,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"45",2,2,0,"Public Primary 3-12",1.22238714747228,"08002061","038","78",516,2,2,TRUE,122.238714747228,2,0,2,0,2,0,0,25,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"46",0,0,0,"Public Primary 3-12",2.28502145122179,"08002071","036","78",215,0,0,FALSE,228.502145122179,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"47",4,0,0,"Public Primary 3-12",1.50411280846063,"08002113","049","78",451,0,0,FALSE,150.411280846063,5,3,1,0,3,0,0,45,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"48",0,0,0,"Public Primary 3-12",1.02524669998718,"08002174","358","78",218,0,0,FALSE,102.524669998718,0,0,0,0,0,0,0,6,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"49",2,0,0,"Public Primary 3-12",1.88402094775833,"08002186","055","78",222,1,0,FALSE,188.402094775833,2,1,1,1,2,0,24,25,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"50",0,1,0,"Public Primary 3-12",1.20048019207683,"08002198","050","78",224,1,1,TRUE,120.048019207683,0,0,0,0,1,0,21,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"51",0,0,0,"Public Primary 3-12",1.02524669998718,"08002204","358","78",217,0,0,FALSE,102.524669998718,1,0,0,0,0,0,0,0,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"52",1,2,0,"Public Primary 3-12",1.20048019207683,"08002216","050","78",219,2,2,TRUE,120.048019207683,1,0,1,0,2,19,17,18,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"53",3,1,0,"Public Primary 3-12",3.86477360563036,"08002277","059","78",445,3,1,TRUE,386.477360563036,3,3,0,2,6,12,25,50,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",TRUE,TRUE,FALSE
"54",1,2,0,"Public Primary 3-12",2.57650797286078,"08002290","067","78",226,2,2,TRUE,257.650797286078,1,1,0,0,3,0,25,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"55",0,0,0,"Public Primary 3-12",2.01930964851391,"08002320","064","78",133,0,0,FALSE,201.930964851391,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"56",0,0,0,"Public Primary 3-12",3.86477360563036,"08002344","059","78",234,0,0,FALSE,386.477360563036,0,0,0,0,0,0,0,3,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",FALSE,FALSE,FALSE
"57",1,0,0,"Public Primary 3-12",2.54220456802383,"08002368","385","78",228,2,0,FALSE,254.220456802383,1,1,0,2,3,0,14,14,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"58",0,1,0,"Public Primary 3-12",1.59275297396844,"08002393","078","78",198,2,1,TRUE,159.275297396844,0,0,0,1,2,18,28,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"59",0,0,0,"Public Primary 3-12",1.65322047348234,"08002411","069","78",201,0,0,FALSE,165.322047348234,0,0,0,0,0,2,4,2,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"60",0,0,0,"Public Primary 3-12",2.01930964851391,"08002459","064","78",372,0,0,FALSE,201.930964851391,1,0,0,0,0,0,0,44,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"61",1,1,0,"Public Primary 3-12",1.73386822601482,"08002484","403","78",217,1,1,TRUE,173.386822601482,1,1,0,0,2,16,0,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"62",0,0,0,"Public Primary 3-12",1.73386822601482,"08002526","403","78",226,0,0,FALSE,173.386822601482,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"63",1,0,0,"Public Primary 3-12",1.03443180138909,"08002538","044","78",455,0,0,FALSE,103.443180138909,3,1,0,0,1,0,0,26,"EINF2C EPRI",TRUE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"64",0,0,0,"Public Primary 3-12",1.2483389038779,"08002551","396","78",470,0,0,FALSE,124.83389038779,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"65",1,1,0,"Public Primary 3-12",1.79020208627397,"08002563","072","78",341,1,1,TRUE,179.020208627397,1,0,1,0,1,0,1,20,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"66",0,1,0,"Public Primary 3-12",2.67148581755323,"08002575","079","78",179,1,1,TRUE,267.148581755323,0,0,0,0,1,1,1,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"67",1,1,0,"Public Primary 3-12",2.75778088177358,"08002587","074","78",190,1,1,TRUE,275.778088177358,1,1,0,0,2,11,0,15,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"68",0,0,0,"Public Primary 3-12",2.75778088177358,"08002599","074","78",179,1,0,FALSE,275.778088177358,0,0,0,1,1,2,17,3,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"69",0,0,0,"Public Primary 3-12",1.77612556794713,"08002617","077","78",427,0,0,FALSE,177.612556794713,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"70",1,0,0,"Public Primary 3-12",1.79020208627397,"08002629","072","78",473,0,0,FALSE,179.020208627397,1,0,1,0,0,0,0,29,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"71",0,0,0,"Public Primary 3-12",1.50156781345228,"08002630","331","78",221,0,0,FALSE,150.156781345228,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"72",0,0,0,"Public Primary 3-12",2.34962406015038,"08002642","073","78",282,0,0,FALSE,234.962406015038,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"73",0,0,0,"Public Primary 3-12",2.75778088177358,"08002654","074","78",276,0,0,FALSE,275.778088177358,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"74",0,0,0,"Public Primary 3-12",1.55350774988525,"08002681","039","78",451,1,0,FALSE,155.350774988525,0,0,0,1,1,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"75",0,0,0,"Public Primary 3-12",1.59801136363636,"08002721","054","78",469,0,0,FALSE,159.801136363636,1,0,0,0,0,0,0,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"76",0,0,0,"Public Primary 3-12",1.76533377124559,"08002733","076","78",205,1,0,FALSE,176.533377124559,0,0,0,1,1,0,25,25,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"77",3,0,0,"Public Primary 3-12",1.59801136363636,"08002745","054","78",410,0,0,FALSE,159.801136363636,3,0,3,0,0,0,0,48,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"78",0,0,1,"Public Primary 3-12",1.28644939965695,"08002770","062","78",229,0,1,FALSE,128.644939965695,0,0,0,0,0,25,25,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",TRUE,FALSE,TRUE
"79",0,2,0,"Public Primary 3-12",1.03551827689759,"08002800","052","78",216,2,2,TRUE,103.551827689759,0,0,0,0,2,0,30,15,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"80",2,0,0,"Public Primary 3-12",1.59275297396844,"08002873","078","78",449,0,0,FALSE,159.275297396844,4,1,1,0,1,0,0,25,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"81",1,3,0,"Public Primary 3-12",3.48432055749129,"08002885","327","78",252,3,3,TRUE,348.432055749129,1,1,0,0,4,42,42,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"82",0,0,0,"Public Primary 3-12",2.01930964851391,"08002897","064","78",200,0,0,FALSE,201.930964851391,2,0,0,0,0,0,0,14,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"83",4,4,0,"Public Primary 3-12",2.34962406015038,"08002915","073","78",355,4,4,TRUE,234.962406015038,4,4,0,0,8,23,23,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"84",0,0,0,"Public Primary 3-12",2.75778088177358,"08002927","074","78",407,0,0,FALSE,275.778088177358,1,0,0,0,0,0,0,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"85",0,0,0,"Public Primary 3-12",1.96219504218719,"08002952","034","78",170,0,0,FALSE,196.219504218719,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"86",0,0,0,"Public Primary 3-12",2.27080692860161,"08002976","383","78",407,0,0,FALSE,227.080692860161,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"87",0,0,0,"Public Primary 3-12",1.20048019207683,"08002988","050","78",369,0,0,FALSE,120.048019207683,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"88",0,0,0,"Public Primary 3-12",3.68646884631655,"08002991","312","78",196,0,0,FALSE,368.646884631655,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(350,1.2e+03]","(350,1.2e+03]",FALSE,FALSE,FALSE
"89",0,0,2,"Public Primary 3-12",3.15827833340082,"08003491","032","78",250,0,2,FALSE,315.827833340082,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,FALSE,TRUE
"90",2,0,1,"Public Primary 3-12",1.96219504218719,"08003695","034","78",218,1,1,FALSE,196.219504218719,2,2,0,1,3,0,26,0,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,FALSE,TRUE
"91",0,1,0,"Public Primary 3-12",1.50411280846063,"08004389","049","78",253,1,1,TRUE,150.411280846063,0,0,0,0,1,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"92",0,0,0,"Public Primary 3-12",1.51871820183765,"08007202","048","78",222,0,0,FALSE,151.871820183765,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"93",0,0,0,"Public Primary 3-12",1.32155750386797,"08008449","395","78",213,0,0,FALSE,132.155750386797,0,0,0,0,0,0,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
"94",0,1,0,"Public Primary 3-12",1.77612556794713,"08009171","077","78",227,1,1,TRUE,177.612556794713,2,0,0,0,1,0,2,50,"EINF2C EPRI",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"95",0,1,1,"Public Primary 3-12",1.59801136363636,"08009776","054","78",228,1,2,TRUE,159.801136363636,0,0,0,0,1,15,15,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,TRUE
"96",0,0,0,"Public Primary 3-12",2.06715972254123,"08010146","051","78",226,0,0,FALSE,206.715972254123,0,0,0,0,0,4,3,1,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"97",0,0,0,"Public Primary 3-12",2.06715972254123,"08010201","051","78",227,1,0,FALSE,206.715972254123,0,0,0,1,1,0,25,0,"EINF2C EPRI",FALSE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"98",0,3,0,"Public Primary 3-12",1.2483389038779,"08010912","396","78",346,3,3,TRUE,124.83389038779,0,0,0,0,3,74,0,0,"EINF2C EPRI",FALSE,"[0,140]","[0,140]","(14,140]",TRUE,TRUE,FALSE
"99",3,0,0,"Public Secondary 12-16+",1.88402094775833,"08012714","055","78",916,0,0,FALSE,188.402094775833,3,1,2,0,1,0,27,27,"ESO BATX CFPM AA03 CFPS",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"100",2,0,0,"Public Secondary 12-16+",1.96219504218719,"08013093","034","78",255,1,0,FALSE,196.219504218719,2,1,1,1,2,0,15,15,"ESO BATX",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"101",2,0,0,"Public Secondary 12-16+",1.50156781345228,"08013101","331","78",789,0,0,FALSE,150.156781345228,2,1,1,0,1,0,0,30,"ESO BATX CFPM CFPS",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"102",4,1,0,"Public Secondary 12-16+",1.43618253416725,"08013111","027","78",1013,1,1,TRUE,143.618253416725,5,1,3,0,2,31,31,81,"ESO BATX CFPM CFPS",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",TRUE,TRUE,FALSE
"103",10,0,0,"Public Secondary 12-16+",2.22562247878704,"08013135","208","64",750,1,0,FALSE,222.562247878704,10,2,8,1,3,0,0,0,"ESO BATX CFPM CFPS",TRUE,"(140,1.2e+03]","(140,350]","(140,350]",FALSE,FALSE,FALSE
"104",2,0,0,"Public Secondary 12-16+",1.22238714747228,"08013147","038","78",576,1,0,FALSE,122.238714747228,2,0,2,1,1,0,0,50,"ESO BATX",TRUE,"[0,140]","[0,140]","(14,140]",FALSE,FALSE,FALSE
